Size,Threads,InitTime_ms,CalcTime_ms,TotalTime_ms
2000,1,15.101,6.34771,21.4487
2000,2,4.20869,19.009,23.2177
2000,4,16.9392,20.2182,37.1574
2000,7,19.0219,6.02829,25.0502
2000,8,15.9632,4.909,20.8722
2000,16,16.085,20.505,36.59
2000,20,4.5278,18.2016,22.7294
2000,40,21.5798,20.7186,42.2983
4000,1,53.8751,61.4809,115.356
4000,2,37.6975,57.1551,94.8526
4000,4,50.6701,44.4766,95.1467
4000,7,38.9286,58.5559,97.4845
4000,8,40.0902,43.0706,83.1608
4000,16,39.5971,59.6742,99.2713
4000,20,41.8873,62.8383,104.726
4000,40,55.5155,60.2707,115.786
